,betweenness,pagerank,clustering,closeness,raw_degree,is_high_risk,risk_score
IL19,0.0,9.301298949868611e-05,1.0,0.1255018173138967,4,0,0.0
IL20,0.0,9.301298949868611e-05,1.0,0.1255018173138967,4,0,0.0
EDNRA,0.0,9.794911264238494e-05,1.0,0.12296426024559971,4,0,0.0
EDN1,0.0,9.794911264238494e-05,1.0,0.12296426024559971,4,0,0.0
EDN2,0.0,9.794911264238494e-05,1.0,0.12296426024559971,4,0,0.0
EDN3,0.0,9.794911264238494e-05,1.0,0.12296426024559971,4,0,0.0
SHQ1,0.0,2.4683609317828388e-05,0.0,0.13839825968990244,1,0,0.0
PLK3,2.0625714103274654e-05,5.9657340288312205e-05,0.3333333333333333,0.16051938560605172,3,0,0.0
TYMS,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
DHFR2,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
DHFR,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
SLMAP,5.073137213821108e-06,6.207761547220006e-05,0.3333333333333333,0.1313009130391382,3,0,0.0
CCNG2,0.0,4.5376360804876855e-05,0.0,0.14660852998539656,1,0,0.0
ANXA2R,0.0,3.2698156342762444e-05,0.0,0.15987986614148578,1,0,0.0
LAYN,0.0,3.915464809670648e-05,1.0,0.1548642082595401,2,0,0.0
SYNE4,0.0,4.967910873762701e-05,1.0,0.1315380609856267,2,0,0.0
SUN2,1.1296027663258377e-05,0.00013978010881179548,0.5238095238095238,0.13680629455061227,7,0,0.01
ZNRF1,0.0,2.704750224136189e-05,0.0,0.1563790637282931,1,0,0.0
TRIM5,0.0,2.704750224136189e-05,0.0,0.1563790637282931,1,0,0.0
RNF8,9.308855361824884e-06,4.783999864487968e-05,0.6666666666666666,0.16761151927894308,4,0,0.0
HTR1A,0.0002037513072196591,8.17565313580909e-05,0.3333333333333333,0.1535420984128683,4,0,0.0
HTR1B,1.229271774780834e-06,8.646245069764487e-05,0.5,0.15042552583186458,4,0,0.0
EPS8,0.0005116333278888026,0.00012491325436939923,0.2,0.16131388391868523,6,0,0.0
USP9X,3.779515037874878e-05,3.935740966190143e-05,0.0,0.16733100984349014,2,0,0.0
