drug_name,promiscuity_index,smiles
nelfinavir,18,CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O
oxymetazoline,18,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C
tubocurarine,18,CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC
topiramate,18,CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C
progesterone,18,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
cianidanol,18,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
pecazine,18,CN1CCCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42
pipamazine,18,C1CN(CCC1C(=O)N)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
quinidine,18,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O
sildenafil,18,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
desloratadine,18,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
diazepam,18,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
xanomeline,18,CCCCCCOC1=NSN=C1C2=CCCN(C2)C
diphenhydramine,17,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
ethinylestradiol,17,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O
droperidol,17,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
doxorubicin,17,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
valdecoxib,17,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N
cabergoline,17,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C
famotidine,17,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N
entrectinib,17,CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6
lysergide,16,CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
dipyridamole,16,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
rosiglitazone,16,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3
dopamine,16,C1=CC(=C(C=C1CCN)O)O
ritonavir,16,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O
diclofenac,16,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
mirtazapine,16,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
dimenhydrinate,16,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
perphenazine,16,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
suramin,16,CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)C
adenosine triphosphate,16,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
phentolamine,16,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O
cocaine,16,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)C3=CC=CC=C3)C(=O)OC
alpha-ergocryptine,16,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=CNC7=CC=CC(=C67)C5=C4)C)O
pipamperone,16,C1CCN(CC1)C2(CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)C(=O)N
mibefradil,16,CC(C)[C@H]1C2=C(CC[C@@]1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F
acetazolamide,16,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
thiethylperazine,16,CCSC1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)C
furosemide,16,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
irinotecan,15,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7
amlodipine,15,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
haloprogin,15,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC#CI
buspirone,15,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
mexiletine,15,CC1=C(C(=CC=C1)C)OCC(C)N
nafamostat,15,C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N
zonisamide,15,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N
niclosamide,15,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
duloxetine,15,CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32
nicotine,15,CN1CCC[C@H]1C2=CN=CC=C2
troglitazone,15,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C
mesoridazine,15,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
estradiol,15,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
paclitaxel,15,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
chloroquine,15,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
perhexiline,15,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3
pyrithione,15,C1=CC(=S)N(C=C1)O
cyclizine,15,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3
flunitrazepam,15,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F
hydroxychloroquine,15,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO
nimodipine,15,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC
molindone,15,CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C
melperone,14,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F
triazolam,14,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl
lacosamide,14,CC(=O)N[C@H](COC)C(=O)NCC1=CC=CC=C1
pyrithione zinc,14,C1=CC=[N+](C(=C1)[S-])[O-].C1=CC=[N+](C(=C1)[S-])[O-].[Zn+2]
papaverine,14,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC
methotrexate,14,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
methazolamide,14,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C
protriptyline,14,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13
cyclobenzaprine,14,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31
silymarin,14,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O
dicycloverine,14,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
vortioxetine,14,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C
doxazosin,14,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC
mifepristone,14,CC#C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O
metoclopramide,14,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl
