Drug_name,Promiscuity_index
hyoscyamine,5
phenylbutazone,5
phenyltoloxamine,5
pilocarpine,5
erythromycin,5
sodium aurothiomalate,5
mazindol,5
enprofylline,5
enprostil,5
silodosin,5
erdafitinib,5
encainide,5
cefotetan,5
atracurium,5
atazanavir,5
hydroxycarbamide,5
epalrestat,5
trifluperidol,5
umeclidinium,5
oliceridine,5
varenicline,5
uridine triphosphate,5
umbralisib,5
tiludronic acid,5
valproic acid,5
meprobamate,5
pimecrolimus,5
empagliflozin,5
dotinurad,5
diosmetin,5
rotigotine,5
aclidinium bromide,5
naloxone,5
warfarin,5
zolmitriptan,5
aceclidine,5
acarbose,5
naratriptan,5
zuclopenthixol,5
zidovudine,4
(s)-nitrendipine,4
voxelotor,4
selexipag,4
tiapride,4
thalidomide,4
carbidopa,4
phenylalanine,4
imiquimod,4
indacaterol,4
thiabendazole,4
ibudilast,4
voriconazole,4
doconexent,4
emetine,4
edetic acid,4
scopolamine butylbromide,4
selegiline,4
idebenone,4
timolol,4
tipranavir,4
tizanidine,4
iprindole,4
penbutolol,4
pentazocine,4
pentobarbital,4
pentoxifylline,4
hydroxyzine,4
moxonidine,4
diphenylpyraline,4
digoxin,4
roxadustat,4
mozavaptan,4
vinburnine,4
vincamine,4
phenylephrine,4
picrotin,4
carmofur,4
bufuralol,4
bumetanide,4
bunazosin,4
ivabradine,4
ketobemidone,4
setmelanotide,4
epoprostenol,4
rofecoxib,4
roflumilast,4
vernakalant,4
misoprostol,4
moclobemide,4
monobenzone,4
morphine,4
pemigatinib,4
tolcapone,4
pipecuronium,4
phenylbutanoic acid,4
cefsulodin,4
blonanserin,4
bosentan,4
brexanolone,4
dilevalol,4
estazolam,4
ambroxol,4
milnacipran,4
nifekalant,4
nilvadipine,4
eperisone,4
temsirolimus,4
chlorambucil,4
hexamethonium,4
hexobarbital,4
paraoxon,4
pasireotide,4
dexamethasone palmitate,4
dexamethasone phosphate,4
dexamethasone valerate,4
alosetron,4
amlexanox,4
amodiaquine,4
vildagliptin,4
alpelisib,4
digitoxin,4
bifonazole,4
levetiracetam,4
levosimendan,4
cimetidine,4
pitolisant,4
chloroxine,4
bethanechol,4
levosulpiride,4
linagliptin,4
oxyphenbutazone,4
dexfosfoserine,4
dexibuprofen,4
desmopressin,4
ethanol,4
dichloroacetic acid,4
estramustine phosphate,4
furtrethonium,4
pralatrexate,4
pranlukast,4
oxyquinoline,4
lonafarnib,4
etidocaine,4
retigabine,4
etizolam,4
etoperidone,4
etoricoxib,4
amrinone,4
anagliptin,4
vasopressin,4
nitroxoline,4
gallamine,4
ponesimod,4
benzphetamine,4
benzylsulfamide,4
tretoquinol,4
loprazolam,4
lorcaserin,4
tadalafil,4
rasagiline,4
regadenoson,4
apraclonidine,4
apremilast,4
ofloxacin,4
methylnaltrexone,4
tafamidis,4
talinolol,4
fostamatinib,4
belantamab mafodotin,4
benserazide,4
benzamycin,4
lofexidine,4
baicalin,4
balsalazide,4
bambuterol,4
stearic acid,4
stiripentol,4
upadacitinib,4
urapidil,4
ursodiol,4
mestranol,4
methacholine,4
noscapine,4
androstenedione,4
sufentanil,4
decamethonium,4
clorazepate,4
sulprostone,4
sultiame,4
propylthiouracil,4
fluticasone propionate,4
probucol,4
clobetasol propionate,4
aurothioglucose,4
mebhydrolin,4
cyproterone acetate,4
cytarabine,4
sulfadiazine,4
sulfinpyrazone,4
fexofenadine,4
flavoxate,4
pseudoephedrine,4
dapagliflozin,4
dapsone,4
corticotropin,4
fluconazole,4
fludarabine phosphate,4
atosiban,4
mepenzolate,4
propantheline,4
proparacaine,4
trospium,4
azithromycin,4
megestrol acetate,4
duvelisib,4
eburnamonine,4
adapalene,4
ajmaline,4
nandrolone,4
nandrolone decanoate,4
naphazoline,4
naproxen,4
nebivolol,4
calcitonin (salmon synthetic),4
calcitonin human,4
calcitriol,4
nalorphine,4
aclarubicin,4
acetic acid,4
abametapir,3
mycophenolic acid,3
acitretin,3
mometasone furoate,3
nalmefene,3
nalbuphine,3
naftopidil,3
naftifine,3
nadolol,3
nicorandil,3
alfaxalone,3
samidorphan,3
safinamide,3
thyropropic acid,3
aflibercept,3
acemetacin,3
ademetionine,3
meclozine,3
tucatinib,3
tryptophan,3
clopidogrel,3
flupirtine,3
fluostigmine,3
fluorouracil,3
colforsin daropate,3
codeine,3
cobimetinib,3
suprofen,3
omapatrilat,3
olsalazine,3
olodaterol,3
aprepitant,3
fludrocortisone acetate,3
quazepam,3
pyrvinium,3
pyrovalerone,3
crisaborole,3
pyrazinamide,3
atenolol,3
daprodustat,3
dantrolene,3
dactinomycin,3
prucalopride,3
sulfafurazole,3
racepinefrine,3
tyramine,3
oxacillin,3
ouabain,3
osilodrostat,3
triflupromazine,3
trifarotene,3
fluticasone furoate,3
flutamide,3
norgestimate,3
trioxsalen,3
racecadotril,3
fenoprofen,3
stallimycin,3
oxycodone,3
tapentadol,3
frovatriptan,3
framycetin,3
tandospirone,3
tamibarotene,3
amoxicillin,3
methoxsalen,3
methoxamine,3
methohexital,3
argatroban,3
arformoterol,3
ranolazine,3
ranitidine,3
fadrozole,3
deoxycholic acid,3
cinchocaine,3
trimetaphan,3
oxprenolol,3
linezolid,3
pregnenolone succinate,3
pregabalin,3
prednisone,3
clenbuterol,3
methyltestosterone,3
methylprednisolone,3
amprenavir,3
everolimus,3
etynodiol,3
etonogestrel,3
ramatroban,3
tazemetostat,3
tazarotene,3
lisdexamfetamine,3
linopirdine,3
palmidrol,3
paliperidone palmitate,3
oxyphenonium,3
cibenzoline,3
prasterone,3
pramlintide,3
gepirone,3
rilonacept,3
rifamycin,3
estrone sulphate,3
dibrompropamidine,3
diacerein,3
dextropropoxyphene,3
sotalol,3
solriamfetol,3
aminoglutethimide,3
nordazepam,3
betrixaban,3
triamcinolone,3
plecanatide,3
glycyrrhizic acid,3
cinacalcet,3
cilostazol,3
levomilnacipran,3
levofloxacin,3
levocabastine,3
levisoprenaline,3
oxymorphone,3
trametinib,3
tramazoline,3
toremifene,3
beraprost,3
bisacodyl,3
cefuroxime,3
haloperidol decanoate,3
choline fenofibrate,3
chlortetracycline,3
chlorproethazine,3
bietamiverine,3
dexlansoprazole,3
viloxazine,3
vilanterol,3
metyrapone,3
metopimazine,3
metolazone,3
aminophenazone,3
pancuronium,3
letrozole,3
pinacidil,3
chenodiol,3
cetirizine,3
teneligliptin,3
lemborexant,3
latanoprost,3
larotrectinib,3
lactose,3
entacapone,3
mimosine,3
amantadine,3
alvimopan,3
alpidem,3
esatenolol,3
ertugliflozin,3
ergocalciferol,3
ribociclib,3
bisoprolol,3
tolrestat,3
tolnaftate,3
cefonicid,3
hydromorphone,3
bromhexine,3
pemafibrate,3
ketorolac,3
moperone,3
mizolastine,3
venetoclax,3
almotriptan,3
aliskiren,3
eplerenone,3
dichlorophen,3
ixazomib,3
isoniazid,3
bupranolol,3
bretylium,3
brompheniramine,3
carprofen,3
picrotoxin,3
physostigmine,3
vinpocetine,3
vinorelbine,3
aldosterone,3
neomycin,3
encorafenib,3
ripasudil,3
dithranol,3
diprafenone,3
dipivefrine,3
irbesartan,3
tioxolone,3
butriptyline,3
phenobarbital,3
phenmetrazine,3
pheniramine,3
sacituzumab govitecan,3
sarpogrelate,3
drospirenone,3
doxapram,3
enarodustat,3
eluxadoline,3
elliptinium,3
doxacurium,3
dofetilide,3
docosanoic acid,3
idarubicin,3
thiocolchicoside,3
carbetocin,3
butorphanol,3
intoplicine,3
phendimetrazine,3
phenazocine,3
perospirone,3
dutasteride,3
selumetinib,3
acepromazine,3
xamoterol,3
zimeldine,3
zanamivir,3
aceclofenac,3
zomepirac,2
selpercatinib,2
rupatadine,2
drotaverine,2
eledoisin,2
efonidipine,2
secobarbital,2
efavirenz,2
saroglitazar,2
rosuvastatin,2
rose bengal,2
enasidenib,2
emicizumab,2
eltrombopag,2
dopexamine,2
dolasetron,2
voglibose,2
vismodegib,2
alclofenac,2
netarsudil,2
pheniprazine,2
phenindione,2
icatibant,2
pimavanserin,2
thioproperazine,2
thioctic acid,2
thiamazole,2
cadralazine,2
indobufen,2
ibandronic acid,2
indenolol,2
imidafenacin,2
phentermine,2
carfenazine,2
carbenicillin,2
carazolol,2
budipine,2
carteolol,2
carpipramine,2
pilsicainide,2
piketoprofen,2
cepharanthine,2
cenobamate,2
cenegermin,2
celiprolol,2
carbimazole,2
pentolonium,2
iproniazid,2
ipriflavone,2
ipragliflozin,2
tirbanibulin,2
bromopride,2
toliprolol,2
tofogliflozin,2
bromfenac,2
pancreozymin,2
